Mean of PCD bin 0,Sigma of PCD bin 0,Prob of PCD bin 0,Peak of PCD bin 0,Mean of PCD bin 1,Sigma of PCD bin 1,Prob of PCD bin 1,Peak of PCD bin 1,Mean of PCD bin 2,Sigma of PCD bin 2,Prob of PCD bin 2,Peak of PCD bin 2,Mean of PCD bin 3,Sigma of PCD bin 3,Prob of PCD bin 3,Peak of PCD bin 3,Mean of PCD bin 4,Sigma of PCD bin 4,Prob of PCD bin 4,Peak of PCD bin 4,Mean of PCD bin 5,Sigma of PCD bin 5,Prob of PCD bin 5,Peak of PCD bin 5,Mean of PCD bin 6,Sigma of PCD bin 6,Prob of PCD bin 6,Peak of PCD bin 6,Mean of PCD bin 7,Sigma of PCD bin 7,Prob of PCD bin 7,Peak of PCD bin 7,Mean of PCD bin 8,Sigma of PCD bin 8,Prob of PCD bin 8,Peak of PCD bin 8,Mean of PCD bin 9,Sigma of PCD bin 9,Prob of PCD bin 9,Peak of PCD bin 9,Mean of PCD bin 10,Sigma of PCD bin 10,Prob of PCD bin 10,Peak of PCD bin 10,Mean of PCD bin 10,Sigma of PCD bin 11,Prob of PCD bin 11,Peak of PCD bin 11,Raga Class
0,0,0,0,0,0,0,191.9997,0,0,0,191.9997,0,0,0,191.9997,0,0,0,191.9997,0,0,0,191.9997,0,0,0,191.9997,195,1,0.0518234165,196.954324,196,20,0.339731286,208.186986,113,26,0.5988483685,217.760341,225,0,0.0019193858,225.387531,238,3,0.0038387716,242.719742,0
136,11,0.0667311412,295.337747,267,21,0.0464216634,278.740225,288,4,0.0537717602,295.337747,280,67,0.1562862669,312.865595,284,74,0.0885880077,331.502935,263,116,0.0800773694,350.671911,329,70,0.0193423598,371.777053,240,96,0.0352030948,393.602133,254,106,0.1458413926,417.013382,176,103,0.2684719536,441.756975,248,134,0.0425531915,464.202598,207,80,0.0162475822,475.48686,0
112,33.5,0.0797101449,295.286453,216,66,0.0903010033,278.692048,262,55,0.0393905611,295.286453,279,59,0.1256038647,312.697531,276,74,0.0921590487,331.33906,246,108,0.0988480119,351.170484,256,126,0.0200668896,371.780956,224,141,0.0241545894,393.784746,203,134,0.1519881085,417.52813,156,105,0.2612411743,439.639877,176,122,0.0353028614,464.237061,131,34,0.016722408,244.108989,0
113,32.5,0.0795617816,295.272819,218,66,0.090158046,278.481683,259,57,0.0373563218,295.272819,276,59,0.0836925287,312.844924,290,61,0.0675287356,331.214192,259,84,0.0474137931,350.949041,231,130,0.0150862069,371.909784,233,141,0.024066092,393.768412,171,118,0.132183908,417.30745,143,88,0.4123563218,438.94083,135,44,0.0323275862,232.788641,140,45,0.0111350575,247.972198,0
136,9,0.0455202312,295.303342,268,13,0.0404624277,278.571341,285,21,0.0335982659,295.303342,296,36,0.0715317919,312.767612,314,31,0.0657514451,331.040463,336,23,0.0404624277,351.17066,351,41,0.013367052,371.851359,363,71,0.0509393064,394.221009,317,118,0.1860549133,417.596929,185,117,0.4194364162,442.394249,310,147,0.0386560694,467.54136,322,112,0.0086705202,486.81343,0
131,20,0.0467847516,295.207721,249,48,0.0373507894,278.650735,282,29,0.0369657297,295.207721,296,39,0.0874085483,312.878435,307,49,0.0754716981,331.419765,338,15,0.0527531767,351.1128,351,51,0.0207932229,371.674974,372,56,0.0635348479,394.027772,358,91,0.2217943781,417.667934,253,140,0.2991913747,442.312813,347,129,0.0546784752,467.588995,282,133,0.0188679245,494.812524,0
107,35,0.049888724,295.308722,186,64,0.0433976261,278.560425,241,68,0.0426557864,295.308722,289,54,0.0571216617,312.806983,294,69,0.046735905,331.323288,337,19,0.0333827893,349.516439,346,60,0.0144658754,371.672272,338,104,0.0267062315,393.624715,260,136,0.1617210682,417.616934,196,129,0.4803412463,442.431133,241,145,0.0623145401,463.525773,244,128,0.0111275964,494.766605,0
102,33.5,0.0371217452,295.278356,201,65,0.0401125968,278.15237,209,73,0.0246305419,295.278356,276,57,0.1009852217,312.866107,227,90,0.0668543279,331.486227,336,28,0.0292047854,350.639466,173,125,0.0316678395,370.026176,269,140,0.0154820549,394.229623,211,123,0.139338494,417.631552,185,115,0.4824067558,442.476745,174,112,0.0555946517,455.114264,171,60,0.0024630542,247.167031,0
117,29,0.0599922088,295.29294,229,60,0.0689520841,278.116293,251,65,0.0190884301,295.29294,284,49,0.1710167511,312.861716,238,87,0.0888196338,331.396647,327,47,0.067393845,351.090507,178,126,0.0412933385,369.975896,303,127,0.0155823919,393.905749,256,119,0.0927152318,417.246377,169,100,0.3120373977,441.314746,174,105,0.0837553564,460.353249,206,53,0.005843397,247.29943,0
123,27,0.1025957973,295.329375,234,59,0.1190770499,278.675444,280,33,0.0449114133,295.329375,298,27,0.1466831479,312.599798,310,39,0.0712814174,331.495647,327,46,0.0758137618,351.048103,301,92,0.0243098475,371.571534,363,60,0.0292542233,393.515734,302,109,0.0976514215,417.638379,174,112,0.2315615987,441.81645,225,126,0.0968273589,468.406116,296,101,0.0127729707,495.673598,0
122,28.5,0.0788709008,295.317435,239,56,0.0859277709,278.723697,269,49,0.0452469905,295.317435,283,52,0.1066832711,312.689248,262,85,0.0904939809,331.465814,319,60,0.0568700706,351.1905,282,107,0.0294728103,371.887868,314,115,0.0373599004,393.917282,225,135,0.1643835616,417.621667,165,109,0.2486508925,441.810339,207,106,0.0767953508,468.406692,239,123,0.0170195102,496.088673,0
112,34,0.0526129944,295.229103,214,67,0.063559322,278.755132,245,66,0.031779661,295.229103,252,79,0.1606638418,312.394453,240,99,0.1800847458,331.356251,274,104,0.0646186441,350.662002,126,91,0.0543785311,371.430149,202,132,0.0169491525,393.992429,150,83,0.0925141243,417.332241,150,72,0.2552966102,441.60657,190,90,0.0625,454.235422,206,54,0.0049435028,246.351827,0
97,34,0.0372881356,294.947401,212,64,0.0347457627,275.087634,202,72,0.0228813559,294.947401,232,77,0.0516949153,312.590747,208,89,0.0966101695,331.455962,307,74,0.0601694915,351.183019,251,124,0.0288135593,370.792971,243,138,0.0313559322,393.552975,174,124,0.2161016949,417.508705,131,83,0.3220338983,441.28816,149,65,0.0898305085,462.127608,136,40,0.0127118644,243.396998,0
116,32,0.0549909256,295.13194,220,66,0.0696914701,278.756039,286,18,0.0246823956,295.13194,302,8,0.1422867514,312.799583,282,77,0.2399274047,331.242472,271,102,0.0606170599,345.412942,104,61,0.0606170599,368.775273,300,114,0.0050816697,392.169802,238,127,0.066061706,416.676715,132,61,0.1691470054,440.369459,252,130,0.1346642468,458.783925,229,37,0.0068965517,247.865487,0
121,28,0.0839857651,295.242565,237,57,0.1224199288,278.730006,286,18,0.0241992883,295.242565,302,9,0.1238434164,312.811624,290,62,0.1939501779,331.313922,288,89,0.0430604982,345.36019,122,80,0.0341637011,368.711514,252,109,0.0081850534,392.143899,257,129,0.0537366548,416.793927,132,57,0.2419928826,442.248645,263,131,0.1181494662,458.759841,241,3,0.0085409253,247.244511,0
111,32.5,0.1251795977,295.336889,219,64,0.1813936782,278.729662,269,49,0.0334051724,295.336889,286,47,0.1138649425,312.876714,273,73,0.0966235632,323.115951,135,93,0.0211925287,337.314079,94,21,0.0585488506,185.980486,147,46,0.0064655172,195.180568,116,36,0.0880028736,208.676195,121,37,0.2801724138,221.200184,168,56,0.0585488506,232.849753,180,60,0.0158045977,248.296145,0
93,34,0.0913799482,295.270744,174,61,0.1206067333,278.103701,263,55,0.0277469478,295.270744,252,71,0.1157972623,312.436461,173,93,0.0517943026,331.470424,267,109,0.068072512,351.068476,102,52,0.0714021458,370.012668,181,127,0.0147983722,394.090533,134,82,0.1838697743,412.172773,107,10,0.2230854606,220.681579,115,18,0.0573436922,231.665496,137,41,0.0196078431,248.116169,0
96,35,0.0613910575,295.339784,181,64,0.0599716111,278.064754,253,62,0.0262597587,295.339784,232,75,0.1103619588,312.860069,187,100,0.1355571327,331.409232,312,68,0.0539389638,351.059821,112,72,0.0333569908,369.909143,190,135,0.0120652945,394.112987,152,98,0.1128459901,412.15865,106,5,0.3626685593,220.676166,120,27,0.0344215756,234.047559,158,56,0.0149041874,248.165899,0
